Group,Trial,Trial.type,Speed.sec,Errors
1,1,regular,346.52,44
1,2,regular,181.78,28
1,3,regular,156.36,8
1,4,regular,158.94,6
1,5,regular,149.82,13
1,6,speed,48.68,87
1,7,percision,178.22,0
2,1,regular,196.94,11
2,2,regular,117.53,14
2,3,regular,125.03,9
2,4,regular,119.84,6
2,5,regular,152.92,3
2,6,speed,49.37,36
2,7,percision,173.29,3
3,1,regular,206,28
3,2,regular,146,25
3,3,regular,130,11
3,4,regular,124,7
3,5,regular,100,2
3,6,speed,20,61
3,7,percision,120,4
4,1,regular,153,30
4,2,regular,79,25
4,3,regular,68,24
4,4,regular,49,20
4,5,regular,45,28
4,6,speed,30,50
4,7,percision,98,15
5,1,regular,247,51
5,2,regular,82,19
5,3,regular,57.5,18
5,4,regular,52.5,24
5,5,regular,54.4,16
5,6,speed,18.6,60
5,7,percision,94,12
