"student","A1","A2","A3","control.correct","control.time","mozart.correct","mozart.time","metal.correct","metal.time"
1,"sometimes","Classical","no",1,730.9375,0.925,651.6375,0.9625,573.2625
2,"no","Country","I don't listen to music",0.35,1880.5625,0.4375,1706.1375,0.3625,1895.075
3,"yes","Other","sometimes",0.9875,452.8875,0.9875,402.1875,0.975,414.4
4,"no","Rock","I don't listen to music",0.925,600.5125,0.9375,533.25,0.8125,584.4875
5,"yes","Other","yes",0.9875,744.4625,0.925,811.7875,0.925,960.225
6,"sometimes","Pop","yes",0.9625,719.7375,0.9625,600.1375,0.9375,644.7625
7,"sometimes","Country","sometimes",0.9,1225.4375,0.975,750.9375,0.875,807.875
8,"yes","Rock","yes",0.8875,748.4,0.925,525.9875,0.9375,471.4125
9,"yes","Indie","sometimes",1,885.7125,0.95,1208.3875,0.95,1207.5125
10,"sometimes","Classical","sometimes",0.9625,739.275625,0.9875,475.1,0.9625,592.825
11,"yes","Hip Hop","yes",0.775,1115.35,0.8875,1086.85,0.8375,824.3875
12,"sometimes","Indie","sometimes",0.6625,1662.875,0.7625,1649.45,0.8625,1417.225
13,"sometimes","Indie","sometimes",0.5,1777.85,0.475,1766.5,0.5,1653.65
14,"no","Pop","I don't listen to music",0.9375,1104.5125,0.9375,926.1625,0.8875,992.2375
15,"yes","Pop","sometimes",0.925,1018.525,0.975,650.375,0.9125,601.3
16,"no","Hip Hop","I don't listen to music",0.4375,3082,0.4625,893,0.475,766
17,"sometimes","Hip Hop","no",0.45,1914.75,0.4875,1739.875,0.4875,1545.7125
18,"sometimes","Rock","yes",0.9375,875.675,0.9125,883.8,0.8125,700.15
19,"yes","Other","sometimes",0.75,995.6625,0.9375,500.85,0.975,502.275
20,"yes","Indie","sometimes",0.85,1234.05,0.95,447.8375,0.9625,489.8125
21,"yes","Indie","sometimes",0.975,533.325,0.9875,457.825,0.9875,433.3625
22,"yes","Classical","sometimes",0.975,532.975,1,557.0875,0.9375,550.225
23,"sometimes","Classical","no",0.6875,2319,0.9125,1720,0.9125,2546
24,"no","Pop","yes",0.95,755.6125,0.9125,897.7875,0.975,615.675
25,"sometimes","Classical","no",0.9625,1170.5,1,897.6125,0.975,1113.525
26,"yes","Techno","sometimes",0.4875,958.45,0.5125,1038.2375,0.9375,680.475
27,"sometimes","Classical","no",0.6875,1760.375,0.5875,866.4375,0.7875,1180.4125
28,"sometimes","Pop","sometimes",0.975,774.85,0.9875,491.025,1,478.625
29,"no","Other","I don't listen to music",0.95,493.9125,1,452.25,0.925,842.975
30,"yes","Indie","no",0.9625,1848.22315764382,0.9625,651.629381203508,0.975,524.057014136847
31,"no",NA,"I don't listen to music",0.925,1051.775,0.9875,521.8875,0.975,502.2875
32,"sometimes","Country","sometimes",1,900.2125,0.9875,720.6125,1,650.825
33,"yes","Techno","sometimes",0.9125,1269.3875,0.925,1329.825,0.95,1103.525
36,"sometimes","Pop","sometimes",0.925,715.9125,0.975,859.9375,0.925,1179.7625
37,"no","Other","I don't listen to music",0.8125,1085.9,0.4625,1712.9625,0.95,762.8
38,"sometimes","Techno","sometimes",0.95,954.4375,0.75,1620.375,0.8625,1168.0375
40,"yes","Indie","no",0.9125,888.8375,0.9375,1086.15,0.95,704.4
41,"yes","Indie","yes",0.75,1495.9625,0.6125,1611.925,0.8,1461.225
42,"yes","Instrumental Metal","no",0.8875,773.7375,0.975,632.95,0.9875,598.325
43,"sometimes","Rock","yes",0.45,1712.55,0.4625,1499.4,0.475,1587.975
44,"sometimes","Other","no",0.9375,801.1375,0.9625,754.05,0.925,678.8125
45,"no","Pop","sometimes",0.675,1177.6375,0.5,1184.9625,0.45,1548.35
46,"yes","Pop","yes",0.9875,419.7375,0.9875,372.25,0.975,373.4
